mb_subtype	cell_type	n	mean_fraction	median_fraction
Group3	B cell	68	0.006244746825949433	0.003199652041997939
Group3	Macrophage M1	68	2.7629032732254247e-5	0
Group3	Macrophage M2	68	8.580642013480263e-4	0
Group3	Monocyte	68	0.09994996329844294	0.06895026297145816
Group3	Myeloid dendritic cell	68	0.005856456588419783	0
Group3	NK cell	68	0.03572062925330065	0.031035581565363957
Group3	Neutrophil	68	6.521536795895919e-4	0
Group3	T cell CD4+ (non-regulatory)	68	0.02964010753007487	0.023060444326130178
Group3	T cell CD8+	68	0.006374898093573497	0.0041399390248794
Group3	T cell regulatory (Tregs)	68	7.680803055774199e-4	0
Group3	uncharacterized cell	68	0.8139072711909915	0.8555875518294835
Group4	B cell	102	0.008218532605307081	0.004556584998660576
Group4	Macrophage M1	102	4.234193886094262e-5	0
Group4	Macrophage M2	102	7.321469560122387e-4	0
Group4	Monocyte	102	0.01922491831939463	0.008030960017360016
Group4	Myeloid dendritic cell	102	0.03180969259610187	0.0180986615755635
Group4	NK cell	102	0.043870020025369126	0.026202446067492103
Group4	Neutrophil	102	0.0015619358360325155	0
Group4	T cell CD4+ (non-regulatory)	102	0.024397594910985976	0.011952359633781044
Group4	T cell CD8+	102	0.003316803482864762	0.001856759110173098
Group4	T cell regulatory (Tregs)	102	0.00676423110068616	0.0036337456241856718
Group4	uncharacterized cell	102	0.8600617822283847	0.9108175347142351
SHH	B cell	84	0.011225031300443918	0.0074029709398107145
SHH	Macrophage M1	84	0.0021512215239875357	0
SHH	Macrophage M2	84	0.00835504144818836	0.003750929887003852
SHH	Monocyte	84	0.01134141159199721	0.005332372246170895
SHH	Myeloid dendritic cell	84	0.022340547502462334	0.013389591759490425
SHH	NK cell	84	0.0189532662795675	0.011674896874284194
SHH	Neutrophil	84	0.0021356962209038237	0
SHH	T cell CD4+ (non-regulatory)	84	0.030390505195427835	0.01955672874664901
SHH	T cell CD8+	84	6.705387868276297e-5	0
SHH	T cell regulatory (Tregs)	84	0.0050922945709131915	0.002849220295536786
SHH	uncharacterized cell	84	0.8879479304874255	0.9171491223437125
WNT	B cell	24	0.007462962802730207	0.005413436620861797
WNT	Macrophage M1	24	4.43579664878545e-4	0
WNT	Macrophage M2	24	0.013177486112033463	0.010988331518355675
WNT	Monocyte	24	5.840772791369662e-4	0
WNT	Myeloid dendritic cell	24	0.050696472857482425	0.038059344305948775
WNT	NK cell	24	0.019571877607766075	0.017365077020534248
WNT	Neutrophil	24	0.010014337733353909	0
WNT	T cell CD4+ (non-regulatory)	24	0.010616812251873994	0.004849518798380404
WNT	T cell CD8+	24	1.562671110299182e-4	0
WNT	T cell regulatory (Tregs)	24	0.001967349878242721	0.0015661993302379335
WNT	uncharacterized cell	24	0.8853087767014718	0.9028546552650549
